Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
046de61f-354a-49c8-9cbd-fcc60fd0f7a3,"2023-03-16, 01:35:26 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
802ca485-57d2-4092-8c25-9b96a409c58d,"2023-03-16, 01:34:25 PM",voclabs/user2333326=2a2c617a-80fe-11ed-85a1-0b0550310192,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,157.37.240.177
2a2799c5-2918-48d4-9e5d-73478183d4b6,"2023-03-16, 01:34:24 PM",voclabs/user2333326=2a2c617a-80fe-11ed-85a1-0b0550310192,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,157.37.240.177
e9ce3506-fdf3-4fa8-89e8-aa3a1095c97c,"2023-03-16, 01:34:24 PM",voclabs/user2333326=2a2c617a-80fe-11ed-85a1-0b0550310192,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,157.37.240.177
3d058a67-c250-4a70-b469-ef8df6547f9a,"2023-03-16, 01:34:23 PM",voclabs/user2333326=2a2c617a-80fe-11ed-85a1-0b0550310192,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAQV43JUPCNUXBSTQ5Z""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::047033459652:user/Accountant""}]",,us-east-1,,157.37.240.177
118f35c1-743e-421d-ae25-c93b507eb39c,"2023-03-16, 01:33:57 PM",voclabs/user2333326=2a2c617a-80fe-11ed-85a1-0b0550310192,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,157.37.240.177
2155455e-8d22-445f-b680-6bae417b4d06,"2023-03-16, 01:33:56 PM",voclabs/user2333326=2a2c617a-80fe-11ed-85a1-0b0550310192,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,157.37.240.177
f1b8d0de-4172-419d-bd04-1fc9a6d43b3b,"2023-03-16, 01:33:56 PM",voclabs/user2333326=2a2c617a-80fe-11ed-85a1-0b0550310192,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,157.37.240.177
80688666-f93f-46cd-9d97-4f5b0717537a,"2023-03-16, 01:33:55 PM",voclabs/user2333326=2a2c617a-80fe-11ed-85a1-0b0550310192,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::047033459652:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAQV43JUPCPAMKYJX3Q""}]",,us-east-1,,157.37.240.177
2e887e5e-5755-4fc9-9260-75c3b72071ae,"2023-03-16, 01:33:34 PM",voclabs/user2333326=2a2c617a-80fe-11ed-85a1-0b0550310192,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAQV43JUPCH2VY5I27G""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::047033459652:group/Reviewers""}]",,us-east-1,,157.37.240.177
